ANALYSIS OF PREDICTION OF REFACTORING IN METHODS
Performed on:,2020-03-14 01:42:43.1271095Z
Matthews Correlation Coefficient (A) = ,-0.019563774
Matthews Correlation Coefficient (D) = ,0.04371988
Matthews Correlation Coefficient (R) = ,-0.019563774
Matthews Correlation Coefficient (V) = ,0.15002427
Matthews Correlation Coefficient (X) = ,0.0065360405
Kappa (A) = ,-0.010475293
Kappa (D) = ,0.027950795
Kappa (R) = ,-0.010475293
Kappa (V) = ,0.14912467
Kappa (X) = ,0.0036306987
Tau (A) = ,0.86242294
Tau (D) = ,0.86242294
Tau (R) = ,0.86242294
Tau (V) = ,0.8162217
Tau (X) = ,0.8634497
AuC (A) = ,0.4969863
AuC (D) = ,0.5083595
AuC (R) = ,0.4969863
AuC (V) = ,0.568061
AuC (X) = ,0.50105137

"MUITOS DESVIOS [EXTRACT_OPERATION, EXTRACT_AND_MOVE_OPERATION]"
Methods with the Muitos Desvios smell in the first commit (A) = ,18
Methods without the Muitos Desvios smell in the first commit (A) = ,1804
Methods with the Muitos Desvios smell in the first commit (V) = ,76
Methods without the Muitos Desvios smell in the first commit (V) = ,1747
Methods with the Muitos Desvios smell in the first commit (X) = ,18
Methods without the Muitos Desvios smell in the first commit (X) = ,1804
Methods with the Muitos Desvios smell in the first commit (D) = ,17
Methods without the Muitos Desvios smell in the first commit (D) = ,1804
Methods with the Muitos Desvios smell in the first commit (R) = ,13
Methods without the Muitos Desvios smell in the first commit (R) = ,1808
Total number of refactorings = ,76
Observed Positives (A) = ,76
Observed Positives (D) = ,76
Observed Positives (R) = ,76
Observed Positives (V) = ,76
Observed Positives (X) = ,76
Average of Observed Positives = ,76.0
Positive Predictions (A) = ,18
Positive Predictions (D) = ,19
Positive Predictions (R) = ,13
Positive Predictions (V) = ,88
Positive Predictions (X) = ,18
Average of Positive Predictions = ,31.2
Average of Predicted Over Average of Observed = ,0.41052634
Sample Size (A) = ,1898
Sample Size (D) = ,1897
Sample Size (R) = ,1897
Sample Size (V) = ,1898
Sample Size (X) = ,1898
True Negative (A) = ,1804
True Negative (D) = ,1804
True Negative (R) = ,1808
True Negative (V) = ,1747
True Negative (X) = ,1804
False Negative (A) = ,76
False Negative (D) = ,74
False Negative (R) = ,76
False Negative (V) = ,63
False Negative (X) = ,76
True Positive (A) = ,0
True Positive (D) = ,2
True Positive (R) = ,0
True Positive (V) = ,13
True Positive (X) = ,0
False Positive (A) = ,18
False Positive (D) = ,17
False Positive (R) = ,13
False Positive (V) = ,75
False Positive (X) = ,18
Accuracy (A) = ,0.9504742
Accuracy (D) = ,0.9520295
Accuracy (R) = ,0.9530838
Accuracy (V) = ,0.92729187
Accuracy (X) = ,0.9504742
Precision (A) = ,0.0
Precision (D) = ,0.10526316
Precision (R) = ,0.0
Precision (V) = ,0.14772727
Precision (X) = ,0.0
Recall (A) = ,0.0
Recall (D) = ,0.02631579
Recall (R) = ,0.0
Recall (V) = ,0.17105263
Recall (X) = ,0.0
F1-measure (A) = ,NaN
F1-measure (D) = ,0.042105265
F1-measure (R) = ,NaN
F1-measure (V) = ,0.15853658
F1-measure (X) = ,NaN
Matthews Correlation Coefficient (A) = ,-0.019984346
Matthews Correlation Coefficient (D) = ,0.03344117
Matthews Correlation Coefficient (R) = ,-0.016970048
Matthews Correlation Coefficient (V) = ,0.12110805
Matthews Correlation Coefficient (X) = ,-0.019984346
Kappa (A) = ,-0.015573914
Kappa (D) = ,0.026504645
Kappa (R) = ,-0.011841971
Kappa (V) = ,0.12075365
Kappa (X) = ,-0.015573914
Tau (A) = ,0.9009484
Tau (D) = ,0.90405905
Tau (R) = ,0.9061676
Tau (V) = ,0.85458374
Tau (X) = ,0.9009484
AuC (A) = ,0.49506038
AuC (D) = ,0.50849015
AuC (R) = ,0.49643055
AuC (V) = ,0.5649445
AuC (X) = ,0.49506038

"ALTO ACOPLAMENTO EFFERENT [EXTRACT_OPERATION, MOVE_OPERATION, EXTRACT_AND_MOVE_OPERATION, MOVE_AND_RENAME_OPERATION]"
Methods with the Alto Acoplamento Efferent smell in the first commit (A) = ,29
Methods without the Alto Acoplamento Efferent smell in the first commit (A) = ,1824
Methods with the Alto Acoplamento Efferent smell in the first commit (V) = ,106
Methods without the Alto Acoplamento Efferent smell in the first commit (V) = ,1747
Methods with the Alto Acoplamento Efferent smell in the first commit (X) = ,25
Methods without the Alto Acoplamento Efferent smell in the first commit (X) = ,1828
Methods with the Alto Acoplamento Efferent smell in the first commit (D) = ,18
Methods without the Alto Acoplamento Efferent smell in the first commit (D) = ,1835
Methods with the Alto Acoplamento Efferent smell in the first commit (R) = ,18
Methods without the Alto Acoplamento Efferent smell in the first commit (R) = ,1835
Total number of refactorings = ,123
Observed Positives (A) = ,123
Observed Positives (D) = ,123
Observed Positives (R) = ,123
Observed Positives (V) = ,123
Observed Positives (X) = ,123
Average of Observed Positives = ,123.0
Positive Predictions (A) = ,44
Positive Predictions (D) = ,31
Positive Predictions (R) = ,28
Positive Predictions (V) = ,133
Positive Predictions (X) = ,39
Average of Positive Predictions = ,55.0
Average of Predicted Over Average of Observed = ,0.44715446
Sample Size (A) = ,1974
Sample Size (D) = ,1974
Sample Size (R) = ,1975
Sample Size (V) = ,1974
Sample Size (X) = ,1975
True Negative (A) = ,1824
True Negative (D) = ,1835
True Negative (R) = ,1835
True Negative (V) = ,1747
True Negative (X) = ,1828
False Negative (A) = ,106
False Negative (D) = ,108
False Negative (R) = ,112
False Negative (V) = ,94
False Negative (X) = ,108
True Positive (A) = ,17
True Positive (D) = ,15
True Positive (R) = ,11
True Positive (V) = ,29
True Positive (X) = ,15
False Positive (A) = ,27
False Positive (D) = ,16
False Positive (R) = ,17
False Positive (V) = ,104
False Positive (X) = ,24
Accuracy (A) = ,0.9326241
Accuracy (D) = ,0.9371834
Accuracy (R) = ,0.93468356
Accuracy (V) = ,0.89969605
Accuracy (X) = ,0.93316454
Precision (A) = ,0.38636363
Precision (D) = ,0.48387095
Precision (R) = ,0.39285713
Precision (V) = ,0.21804512
Precision (X) = ,0.3846154
Recall (A) = ,0.13821138
Recall (D) = ,0.12195122
Recall (R) = ,0.08943089
Recall (V) = ,0.23577236
Recall (X) = ,0.12195122
F1-measure (A) = ,0.20359282
F1-measure (D) = ,0.19480519
F1-measure (R) = ,0.14569536
F1-measure (V) = ,0.22656249
F1-measure (X) = ,0.18518518
Matthews Correlation Coefficient (A) = ,0.20242117
Matthews Correlation Coefficient (D) = ,0.22029072
Matthews Correlation Coefficient (R) = ,0.16404572
Matthews Correlation Coefficient (V) = ,0.17317164
Matthews Correlation Coefficient (X) = ,0.18931441
Kappa (A) = ,0.1765556
Kappa (D) = ,0.17408644
Kappa (R) = ,0.12549727
Kappa (V) = ,0.1730207
Kappa (X) = ,0.15999658
Tau (A) = ,0.8652482
Tau (D) = ,0.87436676
Tau (R) = ,0.8693671
Tau (V) = ,0.7993921
Tau (X) = ,0.8663291
AuC (A) = ,0.56181234
AuC (D) = ,0.5566536
AuC (R) = ,0.5401258
AuC (V) = ,0.58979326
AuC (X) = ,0.55449617

"MUITOS PARAMETROS [EXTRACT_OPERATION, EXTRACT_AND_MOVE_OPERATION, CHANGE_METHOD_SIGNATURE]"
Methods with the Muitos Parametros smell in the first commit (A) = ,112
Methods without the Muitos Parametros smell in the first commit (A) = ,1807
Methods with the Muitos Parametros smell in the first commit (V) = ,173
Methods without the Muitos Parametros smell in the first commit (V) = ,1747
Methods with the Muitos Parametros smell in the first commit (X) = ,112
Methods without the Muitos Parametros smell in the first commit (X) = ,1807
Methods with the Muitos Parametros smell in the first commit (D) = ,59
Methods without the Muitos Parametros smell in the first commit (D) = ,1858
Methods with the Muitos Parametros smell in the first commit (R) = ,85
Methods without the Muitos Parametros smell in the first commit (R) = ,1832
Total number of refactorings = ,76
Observed Positives (A) = ,76
Observed Positives (D) = ,76
Observed Positives (R) = ,76
Observed Positives (V) = ,76
Observed Positives (X) = ,76
Average of Observed Positives = ,76.0
Positive Predictions (A) = ,116
Positive Predictions (D) = ,62
Positive Predictions (R) = ,89
Positive Predictions (V) = ,184
Positive Predictions (X) = ,116
Average of Positive Predictions = ,113.4
Average of Predicted Over Average of Observed = ,1.4921052
Sample Size (A) = ,1995
Sample Size (D) = ,1993
Sample Size (R) = ,1993
Sample Size (V) = ,1996
Sample Size (X) = ,1995
True Negative (A) = ,1807
True Negative (D) = ,1858
True Negative (R) = ,1832
True Negative (V) = ,1747
True Negative (X) = ,1807
False Negative (A) = ,72
False Negative (D) = ,73
False Negative (R) = ,72
False Negative (V) = ,65
False Negative (X) = ,72
True Positive (A) = ,4
True Positive (D) = ,3
True Positive (R) = ,4
True Positive (V) = ,11
True Positive (X) = ,4
False Positive (A) = ,112
False Positive (D) = ,59
False Positive (R) = ,85
False Positive (V) = ,173
False Positive (X) = ,112
Accuracy (A) = ,0.90776944
Accuracy (D) = ,0.9337682
Accuracy (R) = ,0.9212243
Accuracy (V) = ,0.8807615
Accuracy (X) = ,0.90776944
Precision (A) = ,0.03448276
Precision (D) = ,0.048387095
Precision (R) = ,0.04494382
Precision (V) = ,0.05978261
Precision (X) = ,0.03448276
Recall (A) = ,0.05263158
Recall (D) = ,0.039473683
Recall (R) = ,0.05263158
Recall (V) = ,0.14473684
Recall (X) = ,0.05263158
F1-measure (A) = ,0.041666668
F1-measure (D) = ,0.04347826
F1-measure (R) = ,0.04848485
F1-measure (V) = ,0.08461538
F1-measure (X) = ,0.041666668
Matthews Correlation Coefficient (A) = ,-0.0046888855
Matthews Correlation Coefficient (D) = ,0.0095933825
Matthews Correlation Coefficient (R) = ,0.007688128
Matthews Correlation Coefficient (V) = ,0.036142807
Matthews Correlation Coefficient (X) = ,-0.0046888855
Kappa (A) = ,-0.004575661
Kappa (D) = ,0.0095410505
Kappa (R) = ,0.0076623205
Kappa (V) = ,0.032472897
Kappa (X) = ,-0.004575661
Tau (A) = ,0.8155389
Tau (D) = ,0.8675364
Tau (R) = ,0.8424486
Tau (V) = ,0.761523
Tau (X) = ,0.8155389
AuC (A) = ,0.4971339
AuC (D) = ,0.5043482
AuC (R) = ,0.50414574
AuC (V) = ,0.52731633
AuC (X) = ,0.4971339
